VarCode;Land;Variable;Einheit;Jahr;Wert;Quelle
AUS_vr311_$05;AUS;Private Consumption;in US-$, real (Base Year=2005);2000;354.7001;OECD/AMECO
AUT_vr311_$05;AUT;Private Consumption;in US-$, real (Base Year=2005);2000;154.9575;OECD/AMECO
BEL_vr311_$05;BEL;Private Consumption;in US-$, real (Base Year=2005);2000;183.8217;OECD/AMECO
BGR_vr311_$05;BGR;Private Consumption;in US-$, real (Base Year=2005);2000;14.601;OECD/AMECO
CAN_vr311_$05;CAN;Private Consumption;in US-$, real (Base Year=2005);2000;535.491;OECD/AMECO
CZE_vr311_$05;CZE;Private Consumption;in US-$, real (Base Year=2005);2000;53.9126;OECD/AMECO
DNK_vr311_$05;DNK;Private Consumption;in US-$, real (Base Year=2005);2000;111.5001;OECD/AMECO
EST_vr311_$05;EST;Private Consumption;in US-$, real (Base Year=2005);2000;5.0984;OECD/AMECO
FIN_vr311_$05;FIN;Private Consumption;in US-$, real (Base Year=2005);2000;85.5836;OECD/AMECO
FRA_vr311_$05;FRA;Private Consumption;in US-$, real (Base Year=2005);2000;1099.1724;OECD/AMECO
DEU_vr311_$05;DEU;Private Consumption;in US-$, real (Base Year=2005);2000;1601.449;OECD/AMECO
GRC_vr311_$05;GRC;Private Consumption;in US-$, real (Base Year=2005);2000;136.0691;OECD/AMECO
HUN_vr311_$05;HUN;Private Consumption;in US-$, real (Base Year=2005);2000;47.5298;OECD/AMECO
IRL_vr311_$05;IRL;Private Consumption;in US-$, real (Base Year=2005);2000;74.4707;OECD/AMECO
ITA_vr311_$05;ITA;Private Consumption;in US-$, real (Base Year=2005);2000;1016.1415;OECD/AMECO
JPN_vr311_$05;JPN;Private Consumption;in US-$, real (Base Year=2005);2000;2494.2382;OECD/AMECO
KOR_vr311_$05;KOR;Private Consumption;in US-$, real (Base Year=2005);2000;378.0647;OECD/AMECO
LVA_vr311_$05;LVA;Private Consumption;in US-$, real (Base Year=2005);2000;6.6919;OECD/AMECO
LTU_vr311_$05;LTU;Private Consumption;in US-$, real (Base Year=2005);2000;11.0788;OECD/AMECO
NLD_vr311_$05;NLD;Private Consumption;in US-$, real (Base Year=2005);2000;297.671;OECD/AMECO
NZL_vr311_$05;NZL;Private Consumption;in US-$, real (Base Year=2005);2000;53.949;OECD/AMECO
NOR_vr311_$05;NOR;Private Consumption;in US-$, real (Base Year=2005);2000;108.4125;OECD/AMECO
POL_vr311_$05;POL;Private Consumption;in US-$, real (Base Year=2005);2000;167.1345;OECD/AMECO
PRT_vr311_$05;PRT;Private Consumption;in US-$, real (Base Year=2005);2000;116.2069;OECD/AMECO
ROM_vr311_$05;ROM;Private Consumption;in US-$, real (Base Year=2005);2000;43.0284;OECD/AMECO
SVK_vr311_$05;SVK;Private Consumption;in US-$, real (Base Year=2005);2000;21.792;OECD/AMECO
SVN_vr311_$05;SVN;Private Consumption;in US-$, real (Base Year=2005);2000;16.9729;OECD/AMECO
ESP_vr311_$05;ESP;Private Consumption;in US-$, real (Base Year=2005);2000;550.6867;OECD/AMECO
SWE_vr311_$05;SWE;Private Consumption;in US-$, real (Base Year=2005);2000;160.3463;OECD/AMECO
CHE_vr311_$05;CHE;Private Consumption;in US-$, real (Base Year=2005);2000;216.4259;OECD/AMECO
GBR_vr311_$05;GBR;Private Consumption;in US-$, real (Base Year=2005);2000;1255.3173;OECD/AMECO
USA_vr311_$05;USA;Private Consumption;in US-$, real (Base Year=2005);2000;7604.6;OECD/AMECO
ARG_vr311_$05;ARG;Private Consumption;in US-$, real (Base Year=2005);2000;106.9186;OECD/AMECO
BRA_vr311_$05;BRA;Private Consumption;in US-$, real (Base Year=2005);2000;481.2112;OECD/AMECO
CHL_vr311_$05;CHL;Private Consumption;in US-$, real (Base Year=2005);2000;56.2123;OECD/AMECO
CHN_vr311_$05;CHN;Private Consumption;in US-$, real (Base Year=2005);2000;640.084;OECD/AMECO
IND_vr311_$05;IND;Private Consumption;in US-$, real (Base Year=2005);2000;370.0237;OECD/AMECO
ISR_vr311_$05;ISR;Private Consumption;in US-$, real (Base Year=2005);2000;65.9963;OECD/AMECO
MEX_vr311_$05;MEX;Private Consumption;in US-$, real (Base Year=2005);2000;478.4837;OECD/AMECO
RUS_vr311_$05;RUS;Private Consumption;in US-$, real (Base Year=2005);2000;240.4305;OECD/AMECO
ZAF_vr311_$05;ZAF;Private Consumption;in US-$, real (Base Year=2005);2000;125.7912;OECD/AMECO
TUR_vr311_$05;TUR;Private Consumption;in US-$, real (Base Year=2005);2000;268.3345;OECD/AMECO
CYP_vr311_$05;CYP;Private Consumption;in US-$, real (Base Year=2005);2000;8.9493;OECD/AMECO
ISL_vr311_$05;ISL;Private Consumption;in US-$, real (Base Year=2005);2000;7.9155;OECD/AMECO
LUX_vr311_$05;LUX;Private Consumption;in US-$, real (Base Year=2005);2000;12.3304;OECD/AMECO
MLT_vr311_$05;MLT;Private Consumption;in US-$, real (Base Year=2005);2000;3.5853;OECD/AMECO
AUS_vr311_$05;AUS;Private Consumption;in US-$, real (Base Year=2005);2001;365.0018;OECD/AMECO
AUT_vr311_$05;AUT;Private Consumption;in US-$, real (Base Year=2005);2001;157.1169;OECD/AMECO
BEL_vr311_$05;BEL;Private Consumption;in US-$, real (Base Year=2005);2001;186.5158;OECD/AMECO
BGR_vr311_$05;BGR;Private Consumption;in US-$, real (Base Year=2005);2001;15.7522;OECD/AMECO
CAN_vr311_$05;CAN;Private Consumption;in US-$, real (Base Year=2005);2001;547.6323;OECD/AMECO
CZE_vr311_$05;CZE;Private Consumption;in US-$, real (Base Year=2005);2001;55.6095;OECD/AMECO
DNK_vr311_$05;DNK;Private Consumption;in US-$, real (Base Year=2005);2001;111.5911;OECD/AMECO
EST_vr311_$05;EST;Private Consumption;in US-$, real (Base Year=2005);2001;5.4564;OECD/AMECO
FIN_vr311_$05;FIN;Private Consumption;in US-$, real (Base Year=2005);2001;88.1304;OECD/AMECO
FRA_vr311_$05;FRA;Private Consumption;in US-$, real (Base Year=2005);2001;1125.3568;OECD/AMECO
DEU_vr311_$05;DEU;Private Consumption;in US-$, real (Base Year=2005);2001;1622.7491;OECD/AMECO
GRC_vr311_$05;GRC;Private Consumption;in US-$, real (Base Year=2005);2001;142.829;OECD/AMECO
HUN_vr311_$05;HUN;Private Consumption;in US-$, real (Base Year=2005);2001;49.7341;OECD/AMECO
