VarCode;Land;Variable;Einheit;Jahr;Wert;Quelle
AUS_vn311_$;AUS;Private Consumption;in US-$, current prices;2000;243.4914;OECD/European Commission
AUT_vn311_$;AUT;Private Consumption;in US-$, current prices;2000;105.6298;OECD/European Commission
BEL_vn311_$;BEL;Private Consumption;in US-$, current prices;2000;124.1669;OECD/European Commission
BGR_vn311_$;BGR;Private Consumption;in US-$, current prices;2000;8.8616;OECD/European Commission
CAN_vn311_$;CAN;Private Consumption;in US-$, current prices;2000;401.6399;OECD/European Commission
CZE_vn311_$;CZE;Private Consumption;in US-$, current prices;2000;30.5852;OECD/European Commission
DNK_vn311_$;DNK;Private Consumption;in US-$, current prices;2000;76.4139;OECD/European Commission
EST_vn311_$;EST;Private Consumption;in US-$, current prices;2000;3.1556;OECD/European Commission
FIN_vn311_$;FIN;Private Consumption;in US-$, current prices;2000;60.3359;OECD/European Commission
FRA_vn311_$;FRA;Private Consumption;in US-$, current prices;2000;747.2090;OECD/European Commission
DEU_vn311_$;DEU;Private Consumption;in US-$, current prices;2000;1103.7539;OECD/European Commission
GRC_vn311_$;GRC;Private Consumption;in US-$, current prices;2000;88.2595;OECD/European Commission
HUN_vn311_$;HUN;Private Consumption;in US-$, current prices;2000;25.5044;OECD/European Commission
IRL_vn311_$;IRL;Private Consumption;in US-$, current prices;2000;47.6920;OECD/European Commission
ITA_vn311_$;ITA;Private Consumption;in US-$, current prices;2000;663.2739;OECD/European Commission
JPN_vn311_$;JPN;Private Consumption;in US-$, current prices;2000;2625.5081;OECD/European Commission
KOR_vn311_$;KOR;Private Consumption;in US-$, current prices;2000;292.4311;OECD/European Commission
LVA_vn311_$;LVA;Private Consumption;in US-$, current prices;2000;4.9064;OECD/European Commission
LTU_vn311_$;LTU;Private Consumption;in US-$, current prices;2000;7.4959;OECD/European Commission
NLD_vn311_$;NLD;Private Consumption;in US-$, current prices;2000;194.7188;OECD/European Commission
NZL_vn311_$;NZL;Private Consumption;in US-$, current prices;2000;31.8454;OECD/European Commission
NOR_vn311_$;NOR;Private Consumption;in US-$, current prices;2000;72.8612;OECD/European Commission
POL_vn311_$;POL;Private Consumption;in US-$, current prices;2000;110.0027;OECD/European Commission
PRT_vn311_$;PRT;Private Consumption;in US-$, current prices;2000;74.7904;OECD/European Commission
ROM_vn311_$;ROM;Private Consumption;in US-$, current prices;2000;25.7065;OECD/European Commission
SVK_vn311_$;SVK;Private Consumption;in US-$, current prices;2000;11.4956;OECD/European Commission
SVN_vn311_$;SVN;Private Consumption;in US-$, current prices;2000;11.4058;OECD/European Commission
ESP_vn311_$;ESP;Private Consumption;in US-$, current prices;2000;347.3263;OECD/European Commission
SWE_vn311_$;SWE;Private Consumption;in US-$, current prices;2000;121.7981;OECD/European Commission
CHE_vn311_$;CHE;Private Consumption;in US-$, current prices;2000;149.8043;OECD/European Commission
GBR_vn311_$;GBR;Private Consumption;in US-$, current prices;2000;969.8121;OECD/European Commission
USA_vn311_$;USA;Private Consumption;in US-$, current prices;2000;6830.4000;OECD/European Commission
CYP_vn311_$;CYP;Private Consumption;in US-$, current prices;2000;6.0331;OECD/European Commission
ISL_vn311_$;ISL;Private Consumption;in US-$, current prices;2000;6.1827;OECD/European Commission
LUX_vn311_$;LUX;Private Consumption;in US-$, current prices;2000;8.2771;OECD/European Commission
MLT_vn311_$;MLT;Private Consumption;in US-$, current prices;2000;2.5513;OECD/European Commission
ARG_vn311_$;ARG;Private Consumption;in US-$, current prices;2000;197.1428;OECD/European Commission
BRA_vn311_$;BRA;Private Consumption;in US-$, current prices;2000;414.8526;OECD/European Commission
CHL_vn311_$;CHL;Private Consumption;in US-$, current prices;2000;47.9945;OECD/European Commission
CHI_vn311_$;CHI;Private Consumption;in US-$, current prices;2000;553.8996;OECD/European Commission
IND_vn311_$;IND;Private Consumption;in US-$, current prices;2000;298.0032;OECD/European Commission
ISR_vn311_$;ISR;Private Consumption;in US-$, current prices;2000;67.3043;OECD/European Commission
MEX_vn311_$;MEX;Private Consumption;in US-$, current prices;2000;414.5875;OECD/European Commission
