VarCode;Land;Variable;Einheit;Jahr;Wert;Quelle
AUS_vr311_$10;AUS;Private Consumption;in US-$, real (Base Year=2010);2000;492.1;OECD/European Commission
AUT_vr311_$10;AUT;Private Consumption;in US-$, real (Base Year=2010);2000;182.9;OECD/European Commission
BEL_vr311_$10;BEL;Private Consumption;in US-$, real (Base Year=2010);2000;219.0;OECD/European Commission
BGR_vr311_$10;BGR;Private Consumption;in US-$, real (Base Year=2010);2000;19.5;OECD/European Commission
CAN_vr311_$10;CAN;Private Consumption;in US-$, real (Base Year=2010);2000;673.9;OECD/European Commission
CZE_vr311_$10;CZE;Private Consumption;in US-$, real (Base Year=2010);2000;77.1;OECD/European Commission
DNK_vr311_$10;DNK;Private Consumption;in US-$, real (Base Year=2010);2000;133.8;OECD/European Commission
EST_vr311_$10;EST;Private Consumption;in US-$, real (Base Year=2010);2000;7.0;OECD/European Commission
FIN_vr311_$10;FIN;Private Consumption;in US-$, real (Base Year=2010);2000;101.7;OECD/European Commission
FRA_vr311_$10;FRA;Private Consumption;in US-$, real (Base Year=2010);2000;1247.9;OECD/European Commission
DEU_vr311_$10;DEU;Private Consumption;in US-$, real (Base Year=2010);2000;1830.3;OECD/European Commission
GRC_vr311_$10;GRC;Private Consumption;in US-$, real (Base Year=2010);2000;168.3;OECD/European Commission
HUN_vr311_$10;HUN;Private Consumption;in US-$, real (Base Year=2010);2000;57.5;OECD/European Commission
IRL_vr311_$10;IRL;Private Consumption;in US-$, real (Base Year=2010);2000;78.1;OECD/European Commission
ITA_vr311_$10;ITA;Private Consumption;in US-$, real (Base Year=2010);2000;1238.1;OECD/European Commission
JPN_vr311_$10;JPN;Private Consumption;in US-$, real (Base Year=2010);2000;2974.0;OECD/European Commission
KOR_vr311_$10;KOR;Private Consumption;in US-$, real (Base Year=2010);2000;394.5;OECD/European Commission
LVA_vr311_$10;LVA;Private Consumption;in US-$, real (Base Year=2010);2000;9.9;OECD/European Commission
LTU_vr311_$10;LTU;Private Consumption;in US-$, real (Base Year=2010);2000;4.4;OECD/European Commission
NLD_vr311_$10;NLD;Private Consumption;in US-$, real (Base Year=2010);2000;357.8;OECD/European Commission
NZL_vr311_$10;NZL;Private Consumption;in US-$, real (Base Year=2010);2000;60.9;OECD/European Commission
NOR_vr311_$10;NOR;Private Consumption;in US-$, real (Base Year=2010);2000;129.0;OECD/European Commission
POL_vr311_$10;POL;Private Consumption;in US-$, real (Base Year=2010);2000;203.9;OECD/European Commission
PRT_vr311_$10;PRT;Private Consumption;in US-$, real (Base Year=2010);2000;140.0;OECD/European Commission
ROU_vr311_$10;ROU;Private Consumption;in US-$, real (Base Year=2010);2000;53.2;OECD/European Commission
SVK_vr311_$10;SVK;Private Consumption;in US-$, real (Base Year=2010);2000;33.8;OECD/European Commission
SVN_vr311_$10;SVN;Private Consumption;in US-$, real (Base Year=2010);2000;20.9;OECD/European Commission
ESP_vr311_$10;ESP;Private Consumption;in US-$, real (Base Year=2010);2000;674.3;OECD/European Commission
SWE_vr311_$10;SWE;Private Consumption;in US-$, real (Base Year=2010);2000;182.3;OECD/European Commission
CHE_vr311_$10;CHE;Private Consumption;in US-$, real (Base Year=2010);2000;274.7;OECD/European Commission
GBR_vr311_$10;GBR;Private Consumption;in US-$, real (Base Year=2010);2000;1279.1;OECD/European Commission
USA_vr311_$10;USA;Private Consumption;in US-$, real (Base Year=2010);2000;8305.8;OECD/European Commission
ARG_vr311_$10;ARG;Private Consumption;in US-$, real (Base Year=2010);2000;208.5;OECD/European Commission
BRA_vr311_$10;BRA;Private Consumption;in US-$, real (Base Year=2010);2000;878.6;OECD/European Commission
CHL_vr311_$10;CHL;Private Consumption;in US-$, real (Base Year=2010);2000;74.2;OECD/European Commission
CHN_vr311_$10;CHN;Private Consumption;in US-$, real (Base Year=2010);2000;953.4;OECD/European Commission
IND_vr311_$10;IND;Private Consumption;in US-$, real (Base Year=2010);2000;488.1;OECD/European Commission
ISR_vr311_$10;ISR;Private Consumption;in US-$, real (Base Year=2010);2000;93.0;OECD/European Commission
MEX_vr311_$10;MEX;Private Consumption;in US-$, real (Base Year=2010);2000;535.5;OECD/European Commission
RUS_vr311_$10;RUS;Private Consumption;in US-$, real (Base Year=2010);2000;350.6;OECD/European Commission
ZAF_vr311_$10;ZAF;Private Consumption;in US-$, real (Base Year=2010);2000;150.7;OECD/European Commission
TUR_vr311_$10;TUR;Private Consumption;in US-$, real (Base Year=2010);2000;354.4;OECD/European Commission
CYP_vr311_$10;CYP;Private Consumption;in US-$, real (Base Year=2010);2000;11.2;OECD/European Commission
ISL_vr311_$10;ISL;Private Consumption;in US-$, real (Base Year=2010);2000;6.1;OECD/European Commission
LUX_vr311_$10;LUX;Private Consumption;in US-$, real (Base Year=2010);2000;13.8;OECD/European Commission
MLT_vr311_$10;MLT;Private Consumption;in US-$, real (Base Year=2010);2000;4.3;OECD/European Commission
HRV_vr311_$10;HRV;Private Consumption;in US-$, real (Base Year=2010);2000;27.5;OECD/European Commission
AUS_vr311_$10;AUS;Private Consumption;in US-$, real (Base Year=2010);2001;507.3;OECD/European Commission
AUT_vr311_$10;AUT;Private Consumption;in US-$, real (Base Year=2010);2001;185.2;OECD/European Commission
BEL_vr311_$10;BEL;Private Consumption;in US-$, real (Base Year=2010);2001;221.6;OECD/European Commission
BGR_vr311_$10;BGR;Private Consumption;in US-$, real (Base Year=2010);2001;20.9;OECD/European Commission
CAN_vr311_$10;CAN;Private Consumption;in US-$, real (Base Year=2010);2001;689.9;OECD/European Commission
CZE_vr311_$10;CZE;Private Consumption;in US-$, real (Base Year=2010);2001;79.3;OECD/European Commission
DNK_vr311_$10;DNK;Private Consumption;in US-$, real (Base Year=2010);2001;134.2;OECD/European Commission
EST_vr311_$10;EST;Private Consumption;in US-$, real (Base Year=2010);2001;7.5;OECD/European Commission
FIN_vr311_$10;FIN;Private Consumption;in US-$, real (Base Year=2010);2001;104.6;OECD/European Commission
FRA_vr311_$10;FRA;Private Consumption;in US-$, real (Base Year=2010);2001;1279.6;OECD/European Commission
DEU_vr311_$10;DEU;Private Consumption;in US-$, real (Base Year=2010);2001;1860.0;OECD/European Commission
GRC_vr311_$10;GRC;Private Consumption;in US-$, real (Base Year=2010);2001;175.3;OECD/European Commission
HUN_vr311_$10;HUN;Private Consumption;in US-$, real (Base Year=2010);2001;60.1;OECD/European Commission
IRL_vr311_$10;IRL;Private Consumption;in US-$, real (Base Year=2010);2001;81.6;OECD/European Commission
ITA_vr311_$10;ITA;Private Consumption;in US-$, real (Base Year=2010);2001;1245.8;OECD/European Commission
JPN_vr311_$10;JPN;Private Consumption;in US-$, real (Base Year=2010);2001;3021.5;OECD/European Commission
KOR_vr311_$10;KOR;Private Consumption;in US-$, real (Base Year=2010);2001;417.0;OECD/European Commission
LVA_vr311_$10;LVA;Private Consumption;in US-$, real (Base Year=2010);2001;10.4;OECD/European Commission
LTU_vr311_$10;LTU;Private Consumption;in US-$, real (Base Year=2010);2001;4.6;OECD/European Commission
NLD_vr311_$10;NLD;Private Consumption;in US-$, real (Base Year=2010);2001;365.2;OECD/European Commission
NZL_vr311_$10;NZL;Private Consumption;in US-$, real (Base Year=2010);2001;62.5;OECD/European Commission
NOR_vr311_$10;NOR;Private Consumption;in US-$, real (Base Year=2010);2001;131.6;OECD/European Commission
POL_vr311_$10;POL;Private Consumption;in US-$, real (Base Year=2010);2001;208.5;OECD/European Commission
PRT_vr311_$10;PRT;Private Consumption;in US-$, real (Base Year=2010);2001;141.4;OECD/European Commission
ROU_vr311_$10;ROU;Private Consumption;in US-$, real (Base Year=2010);2001;58.2;OECD/European Commission
SVK_vr311_$10;SVK;Private Consumption;in US-$, real (Base Year=2010);2001;35.5;OECD/European Commission
SVN_vr311_$10;SVN;Private Consumption;in US-$, real (Base Year=2010);2001;21.4;OECD/European Commission
ESP_vr311_$10;ESP;Private Consumption;in US-$, real (Base Year=2010);2001;699.4;OECD/European Commission
SWE_vr311_$10;SWE;Private Consumption;in US-$, real (Base Year=2010);2001;183.7;OECD/European Commission
CHE_vr311_$10;CHE;Private Consumption;in US-$, real (Base Year=2010);2001;280.3;OECD/European Commission
GBR_vr311_$10;GBR;Private Consumption;in US-$, real (Base Year=2010);2001;1327.2;OECD/European Commission
USA_vr311_$10;USA;Private Consumption;in US-$, real (Base Year=2010);2001;8521.2;OECD/European Commission
ARG_vr311_$10;ARG;Private Consumption;in US-$, real (Base Year=2010);2001;196.6;OECD/European Commission
BRA_vr311_$10;BRA;Private Consumption;in US-$, real (Base Year=2010);2001;884.6;OECD/European Commission
CHL_vr311_$10;CHL;Private Consumption;in US-$, real (Base Year=2010);2001;76.3;OECD/European Commission
CHN_vr311_$10;CHN;Private Consumption;in US-$, real (Base Year=2010);2001;1012.2;OECD/European Commission
IND_vr311_$10;IND;Private Consumption;in US-$, real (Base Year=2010);2001;517.2;OECD/European Commission
ISR_vr311_$10;ISR;Private Consumption;in US-$, real (Base Year=2010);2001;96.3;OECD/European Commission
MEX_vr311_$10;MEX;Private Consumption;in US-$, real (Base Year=2010);2001;548.8;OECD/European Commission
RUS_vr311_$10;RUS;Private Consumption;in US-$, real (Base Year=2010);2001;383.1;OECD/European Commission
ZAF_vr311_$10;ZAF;Private Consumption;in US-$, real (Base Year=2010);2001;156.0;OECD/European Commission
TUR_vr311_$10;TUR;Private Consumption;in US-$, real (Base Year=2010);2001;331.0;OECD/European Commission
CYP_vr311_$10;CYP;Private Consumption;in US-$, real (Base Year=2010);2001;11.7;OECD/European Commission
ISL_vr311_$10;ISL;Private Consumption;in US-$, real (Base Year=2010);2001;5.9;OECD/European Commission
